,MS SubClass,MS Zoning,Street,Alley,Land Contour,Lot Config,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Exter Qual,Foundation,Bsmt Qual,Total Bsmt SF,Heating,Central Air,1st Flr SF,Gr Liv Area,Full Bath,Kitchen Qual,TotRms AbvGrd,Fireplaces,Fireplace Qu,Garage Type,Garage Finish,Garage Cars,Garage Area,Open Porch SF,Misc Feature,Sale Type,House Age,Remod Age,SalePrice
554,20,RL,Pave,None,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,4.0,Gable,CompShg,MetalSd,MetalSd,None,2,CBlock,3,858.0,GasA,Y,872.0,872.0,1.0,2,5.0,0.0,0,Detchd,1,4.0,480.0,0.0,None,WD ,36.0,36.0,123000.0
555,50,RM,Pave,Grvl,Lvl,Inside,IDOTRR,Artery,Norm,1Fam,1.5Fin,6.0,Gable,CompShg,MetalSd,MetalSd,None,2,CBlock,3,319.0,GasA,Y,1035.0,1406.0,1.0,1,6.0,0.0,0,None,0,0.0,0.0,144.0,None,WD ,88.0,58.0,89500.0
557,20,RL,Pave,None,Lvl,Inside,Sawyer,Norm,Norm,1Fam,1Story,5.0,Gable,CompShg,HdBoard,HdBoard,BrkCmn,2,PConc,3,876.0,GasA,Y,904.0,904.0,1.0,2,6.0,0.0,0,Attchd,1,1.0,408.0,0.0,None,WD ,42.0,42.0,109900.0
558,70,RL,Pave,None,Lvl,Inside,Crawfor,Norm,Norm,1Fam,2Story,7.0,Gambrel,CompShg,MetalSd,MetalSd,None,3,BrkTil,4,1276.0,GasA,Y,1276.0,2080.0,1.0,3,9.0,2.0,4,Detchd,1,1.0,282.0,0.0,None,WD ,83.0,5.0,234000.0
559,120,RM,Pave,None,Lvl,Inside,CollgCr,Norm,Norm,TwnhsE,1Story,6.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,3,PConc,4,848.0,GasA,Y,848.0,848.0,1.0,3,3.0,1.0,4,Attchd,2,2.0,420.0,0.0,None,WD ,2.0,2.0,155900.0
560,50,RL,Pave,None,Lvl,Inside,ClearCr,Norm,Norm,1Fam,1.5Fin,4.0,Gable,CompShg,Wd Sdng,Wd Sdng,None,2,CBlock,3,1104.0,GasA,Y,1104.0,1788.0,1.0,2,8.0,2.0,3,Attchd,1,1.0,304.0,0.0,None,WD ,52.0,20.0,161500.0
561,20,RL,Pave,None,Lvl,CulDSac,Timber,Norm,Norm,1Fam,SLvl,6.0,Gable,CompShg,HdBoard,HdBoard,BrkFace,2,CBlock,3,819.0,GasA,Y,1344.0,1344.0,1.0,3,7.0,1.0,4,Basment,2,2.0,525.0,118.0,None,COD,51.0,51.0,137500.0
564,120,RH,Pave,None,Lvl,Inside,NAmes,Norm,Norm,TwnhsE,1Story,6.0,Gable,CompShg,MetalSd,MetalSd,None,3,PConc,4,1405.0,GasA,Y,1337.0,1337.0,2.0,3,5.0,0.0,0,Attchd,3,2.0,511.0,68.0,None,COD,10.0,9.0,181000.0
565,80,RL,Pave,None,Lvl,Inside,NAmes,Norm,Norm,1Fam,SLvl,6.0,Gable,CompShg,HdBoard,HdBoard,BrkFace,2,CBlock,3,1127.0,GasA,Y,1165.0,1165.0,1.0,2,6.0,0.0,0,Attchd,2,2.0,490.0,129.0,None,WD ,42.0,42.0,174900.0
567,20,RL,Pave,None,Lvl,Inside,NridgHt,Norm,Norm,1Fam,1Story,7.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,3,PConc,4,1517.0,GasA,Y,1535.0,1535.0,2.0,3,7.0,0.0,0,Attchd,2,2.0,532.0,0.0,None,WD ,6.0,6.0,214000.0
568,60,RL,Pave,None,Lvl,Inside,NWAmes,Norm,Norm,1Fam,2Story,7.0,Gable,CompShg,HdBoard,HdBoard,BrkFace,2,CBlock,4,738.0,GasA,Y,1277.0,2044.0,2.0,2,7.0,1.0,3,Attchd,1,2.0,489.0,73.0,None,WD ,28.0,20.0,185000.0
569,50,RM,Pave,None,Lvl,Inside,BrkSide,Norm,Norm,1Fam,1.5Fin,4.0,Gable,CompShg,MetalSd,MetalSd,None,2,PConc,3,704.0,GasA,Y,624.0,1136.0,1.0,2,6.0,0.0,0,Detchd,1,1.0,336.0,365.0,None,WD ,79.0,58.0,123000.0
570,85,RL,Pave,None,Bnk,CulDSac,Mitchel,Norm,Norm,1Fam,SFoyer,6.0,Gable,CompShg,HdBoard,Wd Shng,None,2,CBlock,4,1001.0,GasA,Y,1299.0,1299.0,2.0,3,5.0,1.0,1,BuiltIn,2,2.0,486.0,0.0,None,WD ,28.0,28.0,183500.0
572,20,RL,Pave,None,Lvl,Inside,Edwards,Norm,Norm,1Fam,1Story,5.0,Gable,CompShg,MetalSd,MetalSd,None,2,CBlock,3,1073.0,GasA,Y,1630.0,1630.0,2.0,2,6.0,1.0,3,Detchd,1,2.0,649.0,64.0,None,COD,54.0,54.0,130000.0
573,70,RM,Pave,Grvl,Lvl,Inside,OldTown,Norm,Norm,1Fam,2Story,7.0,Gable,CompShg,Wd Sdng,Wd Sdng,None,2,BrkTil,3,728.0,GasA,Y,832.0,1641.0,1.0,4,6.0,1.0,4,Detchd,1,2.0,546.0,0.0,None,WD ,81.0,16.0,178000.0
574,60,RL,Pave,None,Lvl,Inside,Gilbert,Norm,Norm,1Fam,2Story,5.0,Gable,CompShg,VinylSd,VinylSd,None,2,PConc,4,928.0,GasA,Y,928.0,1629.0,2.0,2,6.0,1.0,3,Attchd,3,2.0,482.0,34.0,None,WD ,13.0,12.0,189900.0
575,120,RM,Pave,None,Lvl,Inside,CollgCr,Norm,Norm,TwnhsE,1Story,6.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,3,PConc,4,848.0,GasA,Y,848.0,848.0,1.0,3,4.0,0.0,0,Attchd,3,2.0,420.0,0.0,None,WD ,6.0,5.0,144000.0
576,30,RM,Pave,None,Lvl,Corner,IDOTRR,Norm,Norm,1Fam,1Story,6.0,Gable,CompShg,Wd Sdng,Wd Sdng,None,3,BrkTil,3,816.0,GasA,Y,816.0,816.0,1.0,2,5.0,0.0,0,Detchd,1,1.0,432.0,0.0,None,WD ,78.0,1.0,120500.0
578,120,RL,Pave,None,Lvl,Inside,StoneBr,Norm,Norm,TwnhsE,1Story,8.0,Gable,CompShg,CemntBd,CmentBd,None,3,PConc,4,1494.0,GasA,Y,1652.0,1652.0,2.0,4,6.0,0.0,0,Attchd,2,2.0,499.0,48.0,None,WD ,7.0,7.0,251000.0
579,90,RL,Pave,None,Lvl,Inside,Sawyer,Norm,Norm,Duplex,1Story,4.0,Hip,CompShg,HdBoard,HdBoard,None,2,CBlock,3,1768.0,GasA,N,1768.0,1768.0,2.0,2,8.0,0.0,0,None,0,0.0,0.0,0.0,None,WD ,42.0,42.0,136500.0
580,90,RL,Pave,None,Lvl,Inside,Edwards,Norm,Norm,Duplex,1Story,4.0,Gable,CompShg,WdShing,Wd Shng,BrkCmn,2,Slab,0,0.0,GasA,N,1152.0,1152.0,2.0,2,6.0,0.0,0,None,0,0.0,0.0,0.0,None,WD ,53.0,53.0,82500.0
582,120,RL,Pave,None,Lvl,Inside,NridgHt,Norm,Norm,TwnhsE,1Story,7.0,Gable,CompShg,VinylSd,VinylSd,Stone,3,PConc,4,1350.0,GasA,Y,1358.0,1358.0,2.0,3,6.0,1.0,4,Attchd,2,2.0,484.0,26.0,None,WD ,2.0,1.0,212500.0
583,120,RM,Pave,None,Lvl,FR2,Mitchel,Norm,Norm,Twnhs,1Story,6.0,Hip,CompShg,VinylSd,VinylSd,BrkFace,2,PConc,5,1216.0,GasA,Y,1216.0,1216.0,2.0,2,5.0,0.0,0,Attchd,1,2.0,402.0,125.0,None,WD ,8.0,8.0,164000.0
584,50,RM,Pave,None,Lvl,Inside,IDOTRR,Norm,Norm,1Fam,1.5Fin,6.0,Gable,CompShg,MetalSd,MetalSd,BrkFace,2,CBlock,3,967.0,GasA,Y,967.0,1638.0,2.0,3,6.0,0.0,0,Detchd,1,1.0,384.0,21.0,None,WD ,49.0,49.0,139000.0
586,85,RL,Pave,None,Lvl,Inside,Mitchel,Norm,Norm,1Fam,SFoyer,5.0,Gable,CompShg,HdBoard,Wd Shng,None,2,PConc,4,828.0,GasA,Y,883.0,883.0,1.0,2,5.0,1.0,2,Detchd,1,2.0,698.0,32.0,None,WD ,17.0,16.0,149000.0
587,20,RL,Pave,None,Lvl,Inside,Mitchel,Norm,Norm,1Fam,1Story,5.0,Gable,CompShg,HdBoard,HdBoard,None,2,CBlock,3,864.0,GasA,Y,874.0,874.0,1.0,2,5.0,0.0,0,Attchd,2,1.0,288.0,0.0,Shed,WD ,41.0,41.0,130000.0
588,70,RM,Pave,None,Bnk,Inside,OldTown,RRAn,Feedr,1Fam,2Story,7.0,Gable,CompShg,Stucco,Stucco,None,2,BrkTil,3,576.0,GasA,Y,902.0,1710.0,2.0,2,9.0,0.0,0,Detchd,1,2.0,480.0,11.0,None,WD ,89.0,60.0,140000.0
589,20,FV,Pave,None,Lvl,Corner,Somerst,Norm,Norm,1Fam,1Story,8.0,Hip,CompShg,VinylSd,VinylSd,BrkFace,3,PConc,4,1836.0,GasA,Y,1836.0,1836.0,2.0,3,8.0,1.0,4,Attchd,3,2.0,517.0,175.0,None,New,1.0,0.0,264500.0
590,20,RL,Pave,None,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,5.0,Gable,CompShg,Wd Sdng,Wd Sdng,None,2,CBlock,3,1092.0,GasA,Y,1092.0,1092.0,1.0,2,6.0,1.0,3,Attchd,3,1.0,299.0,0.0,None,WD ,49.0,49.0,141000.0
591,120,FV,Pave,Pave,Lvl,Inside,Somerst,Norm,Norm,TwnhsE,1Story,7.0,Gable,CompShg,VinylSd,VinylSd,None,3,PConc,4,1241.0,GasA,Y,1241.0,1241.0,1.0,3,4.0,0.0,0,Attchd,3,2.0,569.0,116.0,None,New,1.0,0.0,199900.0
592,20,RL,Pave,None,Lvl,Inside,NWAmes,Norm,Norm,1Fam,1Story,6.0,Gable,CompShg,Plywood,Plywood,BrkFace,2,CBlock,4,1350.0,GasA,Y,1334.0,1334.0,2.0,2,6.0,1.0,3,Attchd,2,2.0,630.0,16.0,None,WD ,32.0,32.0,167900.0
593,20,RL,Pave,None,Lvl,CulDSac,NAmes,Norm,Norm,1Fam,1Story,6.0,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,2,CBlock,3,1144.0,GasA,Y,1429.0,1429.0,1.0,3,7.0,2.0,4,Attchd,1,2.0,572.0,110.0,None,WD ,47.0,20.0,181900.0
594,20,FV,Pave,None,Lvl,Inside,Somerst,Norm,Norm,1Fam,1Story,8.0,Gable,CompShg,VinylSd,VinylSd,Stone,3,PConc,4,1566.0,GasA,Y,1566.0,1566.0,2.0,3,7.0,0.0,0,Attchd,2,2.0,750.0,168.0,None,WD ,2.0,2.0,262500.0
595,60,RL,Pave,None,Lvl,Inside,NWAmes,Norm,Norm,1Fam,2Story,7.0,Hip,CompShg,HdBoard,HdBoard,BrkFace,2,PConc,4,908.0,GasA,Y,1316.0,2288.0,1.0,3,8.0,2.0,3,Attchd,2,2.0,520.0,72.0,None,WD ,32.0,17.0,230000.0
596,120,FV,Pave,None,Lvl,CulDSac,Somerst,Norm,Norm,TwnhsE,1Story,9.0,Gable,CompShg,MetalSd,MetalSd,BrkFace,3,PConc,5,1698.0,GasA,Y,1709.0,1709.0,2.0,3,5.0,1.0,3,Attchd,3,2.0,506.0,65.0,None,CWD,9.0,8.0,328900.0
597,20,RL,Pave,None,Lvl,Inside,NridgHt,Norm,Norm,1Fam,1Story,8.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,3,PConc,4,1721.0,GasA,Y,1721.0,1721.0,2.0,3,7.0,0.0,0,Attchd,2,2.0,554.0,27.0,None,WD ,2.0,2.0,232698.0
599,50,RL,Pave,None,Lvl,Corner,Sawyer,Norm,Norm,1Fam,1.5Fin,5.0,Gable,CompShg,Wd Sdng,Wd Sdng,None,2,BrkTil,3,576.0,GasA,Y,864.0,1350.0,1.0,3,6.0,0.0,0,2Types,1,3.0,627.0,0.0,None,WD ,67.0,35.0,152400.0
600,20,RL,Pave,None,Lvl,Inside,CollgCr,Norm,Norm,1Fam,1Story,7.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,3,PConc,4,1630.0,GasA,Y,1630.0,1630.0,2.0,3,6.0,1.0,3,Attchd,1,2.0,451.0,234.0,None,WD ,9.0,8.0,213000.0
601,60,RL,Pave,None,Lvl,Inside,SawyerW,Norm,Norm,1Fam,2Story,7.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,3,PConc,4,784.0,GasA,Y,831.0,1585.0,2.0,3,7.0,0.0,0,Attchd,2,2.0,449.0,77.0,None,WD ,1.0,1.0,184900.0
602,190,RL,Pave,None,Lvl,Corner,Crawfor,Norm,Norm,2fmCon,1Story,5.0,Hip,CompShg,MetalSd,MetalSd,BrkFace,2,CBlock,3,1165.0,GasA,Y,1336.0,1336.0,1.0,2,5.0,2.0,4,Attchd,1,1.0,375.0,0.0,None,WD ,53.0,53.0,157000.0
603,20,RL,Pave,None,Lvl,Inside,Sawyer,Norm,Norm,1Fam,1Story,5.0,Hip,CompShg,HdBoard,HdBoard,None,2,CBlock,3,864.0,GasA,Y,1211.0,1211.0,1.0,2,6.0,1.0,3,Detchd,1,2.0,576.0,0.0,None,WD ,44.0,4.0,144000.0
604,20,RL,Pave,None,Lvl,Inside,NWAmes,Norm,Norm,1Fam,1Story,6.0,Gable,CompShg,MetalSd,MetalSd,BrkFace,2,CBlock,4,1259.0,GasA,Y,1353.0,1353.0,2.0,2,5.0,1.0,3,Attchd,2,2.0,478.0,141.0,None,WD ,28.0,8.0,192350.0
605,20,RL,Pave,None,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,7.0,Hip,CompShg,HdBoard,Plywood,BrkFace,2,CBlock,3,1174.0,GasA,Y,1200.0,1200.0,2.0,2,6.0,1.0,3,Attchd,2,2.0,440.0,0.0,None,CWD,41.0,41.0,163500.0
606,60,RL,Pave,None,Lvl,Inside,SawyerW,Norm,Norm,1Fam,2Story,7.0,Hip,CompShg,HdBoard,HdBoard,BrkFace,2,PConc,4,1475.0,GasA,Y,1532.0,2329.0,2.0,3,10.0,1.0,5,Attchd,1,2.0,514.0,121.0,None,WD ,18.0,18.0,262280.0
607,20,RL,Pave,None,Lvl,Inside,CollgCr,Norm,Norm,1Fam,1Story,7.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,3,PConc,4,1536.0,GasA,Y,1536.0,1536.0,2.0,3,7.0,0.0,0,Attchd,2,2.0,532.0,74.0,None,WD ,6.0,5.0,214000.0
608,20,RL,Pave,None,Lvl,Inside,Crawfor,Norm,Norm,1Fam,1Story,6.0,Gable,CompShg,Stone,Stone,None,2,PConc,3,1073.0,GasA,Y,1811.0,1811.0,1.0,4,6.0,1.0,4,Attchd,3,2.0,470.0,0.0,None,WD ,50.0,2.0,230000.0
610,20,C (all),Pave,None,Lvl,Corner,IDOTRR,Norm,Norm,1Fam,1Story,4.0,Gable,CompShg,MetalSd,MetalSd,None,2,CBlock,3,1073.0,GasA,Y,1073.0,1073.0,1.0,2,6.0,0.0,0,Detchd,1,2.0,720.0,444.0,None,WD ,50.0,27.0,140000.0
611,60,RL,Pave,None,Lvl,Inside,NAmes,PosN,Norm,1Fam,2Story,6.0,Gable,CompShg,MetalSd,MetalSd,BrkFace,2,CBlock,3,756.0,GasA,Y,1051.0,1839.0,1.0,2,7.0,1.0,3,Attchd,1,2.0,442.0,124.0,None,WD ,44.0,44.0,155000.0
612,50,C (all),Pave,None,Lvl,Corner,IDOTRR,Norm,Norm,1Fam,1.5Unf,3.0,Gable,CompShg,Wd Sdng,Wd Sdng,None,1,BrkTil,3,1020.0,GasA,N,1020.0,1020.0,1.0,1,5.0,0.0,0,None,0,0.0,0.0,0.0,None,ConLD,88.0,56.0,64500.0
613,60,RL,Pave,None,Lvl,CulDSac,SawyerW,Norm,Norm,1Fam,2Story,6.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,3,PConc,4,946.0,GasA,Y,964.0,1802.0,2.0,3,8.0,1.0,4,2Types,2,4.0,1017.0,92.0,None,WD ,17.0,17.0,218000.0
614,80,RL,Pave,None,Lvl,Inside,CollgCr,Norm,Norm,1Fam,SLvl,5.0,Gable,CompShg,Plywood,VinylSd,BrkFace,2,CBlock,3,995.0,GasA,Y,1009.0,1009.0,2.0,2,6.0,1.0,2,Detchd,1,2.0,576.0,0.0,None,WD ,30.0,30.0,160000.0
615,20,FV,Pave,None,Lvl,Inside,Somerst,Norm,Norm,1Fam,1Story,8.0,Gable,CompShg,VinylSd,VinylSd,None,3,PConc,4,1338.0,GasA,Y,1338.0,1338.0,2.0,3,6.0,0.0,0,Attchd,2,2.0,598.0,141.0,None,New,0.0,0.0,208900.0
617,160,FV,Pave,Pave,Lvl,Inside,Somerst,Norm,Norm,TwnhsE,2Story,7.0,Gable,CompShg,VinylSd,VinylSd,None,3,PConc,4,689.0,GasA,Y,703.0,1392.0,2.0,3,5.0,0.0,0,Detchd,1,2.0,540.0,102.0,None,WD ,1.0,1.0,146000.0
618,120,RL,Pave,None,Lvl,Inside,Veenker,Norm,Norm,TwnhsE,1Story,8.0,Gable,CompShg,BrkFace,BrkFace,None,3,PConc,4,1260.0,GasA,Y,1288.0,1288.0,1.0,4,4.0,2.0,4,Attchd,3,2.0,500.0,30.0,None,WD ,12.0,12.0,245500.0
619,45,RM,Pave,None,Bnk,Inside,BrkSide,Norm,Norm,1Fam,1.5Unf,6.0,Gable,CompShg,MetalSd,MetalSd,None,2,BrkTil,3,992.0,GasA,Y,1013.0,1013.0,1.0,2,6.0,0.0,0,Detchd,1,1.0,160.0,0.0,None,WD ,82.0,58.0,113000.0
621,20,RL,Pave,None,HLS,Corner,StoneBr,Norm,Norm,1Fam,1Story,9.0,Hip,CompShg,VinylSd,VinylSd,Stone,3,PConc,5,1922.0,GasA,Y,1922.0,1922.0,2.0,3,8.0,1.0,4,Attchd,3,3.0,676.0,51.0,None,WD ,2.0,1.0,377426.0
624,50,RL,Pave,None,Lvl,Inside,Edwards,Norm,Norm,1Fam,1.5Fin,4.0,Gable,CompShg,VinylSd,VinylSd,None,2,CBlock,2,624.0,GasA,Y,624.0,936.0,1.0,2,5.0,0.0,0,Attchd,1,1.0,265.0,0.0,None,WD ,58.0,56.0,97900.0
625,20,FV,Pave,None,Lvl,Inside,Somerst,Norm,Norm,1Fam,1Story,6.0,Gable,CompShg,VinylSd,VinylSd,None,3,PConc,4,1218.0,GasA,Y,1218.0,1218.0,2.0,3,4.0,0.0,0,Attchd,3,2.0,676.0,102.0,None,New,0.0,0.0,208300.0
626,60,RL,Pave,None,Lvl,Inside,Mitchel,Norm,Norm,1Fam,2Story,7.0,Gable,CompShg,VinylSd,VinylSd,None,2,PConc,4,910.0,GasA,Y,910.0,1820.0,2.0,3,8.0,1.0,3,Attchd,1,3.0,816.0,32.0,None,WD ,12.0,11.0,213000.0
627,60,RL,Pave,None,Lvl,CulDSac,CollgCr,Norm,Norm,1Fam,2Story,7.0,Gable,CompShg,VinylSd,VinylSd,None,2,PConc,4,880.0,GasA,Y,880.0,1724.0,2.0,3,8.0,0.0,0,Attchd,3,2.0,527.0,155.0,None,WD ,10.0,9.0,188000.0
628,20,RL,Pave,None,Lvl,Corner,NAmes,Feedr,Norm,1Fam,1Story,6.0,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,2,CBlock,3,1121.0,GasA,Y,1336.0,1336.0,1.0,2,7.0,1.0,3,Attchd,2,2.0,488.0,0.0,None,WD ,48.0,48.0,162000.0
629,50,RM,Pave,None,Lvl,Inside,IDOTRR,Norm,Norm,1Fam,1.5Fin,5.0,Gable,CompShg,Wd Sdng,Wd Sdng,None,2,CBlock,3,910.0,GasA,Y,910.0,1558.0,1.0,2,6.0,0.0,0,Attchd,1,1.0,282.0,0.0,None,WD ,57.0,57.0,152000.0
631,60,RL,Pave,None,Lvl,CulDSac,SawyerW,Norm,Norm,1Fam,2Story,7.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,3,PConc,4,832.0,GasA,Y,832.0,1657.0,2.0,3,6.0,0.0,0,Attchd,2,2.0,483.0,74.0,Shed,WD ,14.0,13.0,189000.0
632,20,RL,Pave,None,Lvl,CulDSac,NWAmes,Norm,Norm,1Fam,1Story,7.0,Hip,CompShg,Plywood,Plywood,BrkFace,3,CBlock,4,2048.0,GasA,Y,2064.0,2064.0,2.0,3,7.0,2.0,2,Attchd,3,2.0,550.0,0.0,None,WD ,30.0,30.0,235000.0
633,190,RL,Pave,None,Lvl,Inside,Edwards,Norm,Norm,2fmCon,1Story,5.0,Gable,CompShg,MetalSd,MetalSd,None,2,CBlock,3,1164.0,GasW,N,1164.0,1164.0,1.0,2,5.0,0.0,0,Detchd,1,1.0,240.0,48.0,None,ConLD,58.0,58.0,125000.0
636,90,RL,Grvl,None,Lvl,Inside,Edwards,Norm,Norm,Duplex,SFoyer,6.0,Gable,CompShg,HdBoard,HdBoard,BrkFace,2,CBlock,4,816.0,GasA,Y,816.0,816.0,1.0,2,5.0,0.0,0,None,0,0.0,0.0,32.0,None,WD ,17.0,17.0,118500.0
637,20,FV,Pave,None,Lvl,Inside,Somerst,Norm,Norm,1Fam,1Story,9.0,Gable,CompShg,CemntBd,CmentBd,Stone,4,PConc,5,1766.0,GasA,Y,1766.0,1766.0,2.0,4,7.0,1.0,4,Attchd,3,3.0,478.0,130.0,None,New,0.0,0.0,370878.0
638,90,RH,Pave,None,HLS,Inside,Crawfor,Norm,Norm,Duplex,2Story,5.0,Gable,CompShg,MetalSd,MetalSd,None,2,CBlock,3,1001.0,GasA,N,1001.0,2002.0,2.0,2,8.0,0.0,0,2Types,1,3.0,871.0,0.0,None,WD ,58.0,57.0,145000.0
639,50,RL,Pave,None,Lvl,Corner,Crawfor,Norm,Norm,1Fam,1.5Fin,7.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,3,CBlock,3,798.0,GasA,Y,1137.0,1954.0,1.0,3,8.0,2.0,3,Attchd,1,2.0,431.0,119.0,None,WD ,69.0,2.0,311500.0
640,120,RL,Pave,None,Lvl,Inside,Blmngtn,Norm,Norm,TwnhsE,1Story,7.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,3,PConc,4,1220.0,GasA,Y,1364.0,1364.0,2.0,3,6.0,1.0,4,Attchd,3,2.0,437.0,16.0,None,New,0.0,0.0,210250.0
642,90,RL,Pave,None,Lvl,Inside,Mitchel,Norm,Norm,Duplex,1.5Fin,5.0,Gable,CompShg,Plywood,Plywood,None,2,CBlock,0,0.0,GasA,Y,1302.0,1734.0,2.0,3,8.0,0.0,0,Attchd,1,2.0,539.0,0.0,None,COD,32.0,32.0,126000.0
643,70,RL,Pave,None,Lvl,Corner,OldTown,Norm,Norm,1Fam,2Story,4.0,Gable,CompShg,MetalSd,MetalSd,None,3,BrkTil,2,405.0,GasA,Y,717.0,1039.0,1.0,2,6.0,0.0,0,Detchd,1,1.0,281.0,0.0,None,WD ,109.0,6.0,114000.0
644,70,RM,Pave,None,Lvl,Inside,OldTown,Norm,Norm,1Fam,2Story,4.0,Gable,CompShg,VinylSd,VinylSd,None,3,BrkTil,2,677.0,GasA,Y,833.0,1510.0,2.0,3,7.0,0.0,0,Detchd,1,2.0,720.0,0.0,None,WD ,99.0,59.0,87500.0
646,20,RL,Pave,None,Lvl,Inside,SawyerW,Norm,Norm,1Fam,1Story,8.0,Gable,Tar&Grv,VinylSd,VinylSd,BrkFace,3,PConc,4,1512.0,GasA,Y,1512.0,1512.0,2.0,3,6.0,0.0,0,Attchd,2,3.0,845.0,36.0,None,WD ,5.0,5.0,203000.0
647,20,RL,Pave,None,Lvl,Inside,SawyerW,Norm,Norm,1Fam,1Story,7.0,Gable,CompShg,VinylSd,VinylSd,None,3,PConc,4,1454.0,GasA,Y,1434.0,1434.0,2.0,3,6.0,1.0,3,Attchd,2,2.0,527.0,39.0,None,WD ,8.0,8.0,189000.0
648,60,FV,Pave,None,Lvl,Inside,Somerst,Norm,Norm,1Fam,2Story,7.0,Gable,CompShg,VinylSd,VinylSd,None,3,PConc,4,812.0,GasA,Y,812.0,1653.0,2.0,3,6.0,0.0,0,Attchd,2,2.0,628.0,45.0,None,WD ,6.0,6.0,209000.0
649,70,RM,Pave,None,Lvl,Corner,OldTown,Artery,Norm,1Fam,2Story,6.0,Gable,CompShg,Stucco,BrkFace,None,2,BrkTil,2,917.0,GasA,Y,1090.0,2007.0,2.0,4,8.0,0.0,0,Detchd,1,1.0,357.0,235.0,None,WD ,109.0,59.0,160000.0
650,20,RL,Pave,None,Lvl,CulDSac,Sawyer,RRAe,Norm,1Fam,1Story,5.0,Gable,CompShg,Plywood,Plywood,BrkFace,2,CBlock,2,1037.0,GasA,Y,1037.0,1037.0,1.0,2,5.0,0.0,0,Attchd,2,2.0,431.0,47.0,None,WD ,33.0,33.0,129000.0
651,20,RL,Pave,None,Lvl,Inside,Mitchel,Norm,Norm,1Fam,1Story,5.0,Gable,CompShg,HdBoard,HdBoard,None,2,CBlock,4,1389.0,GasA,Y,1389.0,1389.0,1.0,2,6.0,1.0,3,Attchd,2,2.0,418.0,38.0,None,WD ,32.0,31.0,170000.0
652,30,RL,Pave,None,Lvl,Inside,Crawfor,Norm,Norm,1Fam,1Story,5.0,Gable,CompShg,WdShing,Stucco,None,2,PConc,3,440.0,GasA,N,694.0,694.0,1.0,3,4.0,1.0,4,Detchd,1,1.0,352.0,0.0,None,WD ,94.0,5.0,90350.0
653,50,RL,Pave,None,Lvl,Corner,Edwards,Artery,Norm,1Fam,1.5Fin,6.0,Gable,CompShg,Wd Sdng,Wd Sdng,None,2,BrkTil,3,572.0,Grav,N,572.0,1096.0,1.0,2,5.0,0.0,0,None,0,0.0,0.0,8.0,None,WD ,84.0,58.0,79000.0
654,20,RL,Pave,None,Lvl,Corner,CollgCr,Norm,Norm,1Fam,1Story,5.0,Gable,CompShg,VinylSd,VinylSd,None,2,PConc,3,894.0,GasA,Y,894.0,894.0,1.0,2,5.0,0.0,0,Attchd,1,2.0,552.0,0.0,None,WD ,34.0,34.0,149900.0
655,20,RL,Pave,None,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,5.0,Hip,CompShg,MetalSd,MetalSd,None,2,CBlock,4,864.0,GasA,Y,864.0,864.0,1.0,2,5.0,0.0,0,Detchd,1,2.0,576.0,0.0,None,WD ,37.0,37.0,123000.0
656,70,RM,Pave,Grvl,Lvl,Inside,OldTown,Norm,Norm,1Fam,2Story,4.0,Gable,CompShg,AsbShng,Stucco,None,2,BrkTil,3,1095.0,GasW,N,1095.0,1774.0,2.0,2,8.0,0.0,0,2Types,1,3.0,779.0,0.0,None,WD ,106.0,56.0,87000.0
657,80,RL,Pave,None,Lvl,Inside,Mitchel,Norm,Norm,1Fam,SLvl,6.0,Gable,CompShg,Plywood,Plywood,None,2,CBlock,3,1096.0,GasA,Y,1118.0,1118.0,1.0,2,6.0,1.0,1,Attchd,3,1.0,358.0,0.0,None,WD ,31.0,31.0,171000.0
658,50,RL,Pave,None,Lvl,Inside,NAmes,Norm,Norm,1Fam,1.5Fin,6.0,Gable,CompShg,VinylSd,VinylSd,None,2,CBlock,3,1032.0,GasA,Y,1032.0,1252.0,1.0,2,6.0,0.0,0,Attchd,1,1.0,288.0,0.0,None,WD ,58.0,58.0,119000.0
